md5_from,md5_to,MW_forward,MW_reverse
39aed10797372cd8a863c1c07217fb23,b54a53dc2c2eba9be275f1bebdf43546,2026.4,2960.7
4026f5142c9d6374247865fc12b78aed,b54a53dc2c2eba9be275f1bebdf43546,892.7,702.3
7fa28618d4d9be3da1a5f6db78e5b833,f156dc0192f71fd5070919987eae981e,230.8,247.5
93e7754e3229c4cd9167c5292a7773b5,a4ed13a6f161d96f8aa20727345a3158,467.1,442.3
cab1458966f921cea50d07b202d49c99,4026f5142c9d6374247865fc12b78aed,2709.7,3060.0
d14df0e3482dbfefc31bbf9196420883,998030323db090e04d0a4c441ea7a89c,3158.0,3155.9
93e7754e3229c4cd9167c5292a7773b5,d14df0e3482dbfefc31bbf9196420883,15872.4,13537.7
a4ed13a6f161d96f8aa20727345a3158,ea4f893317f30161c72d21075feaf713,3205.6,3307.1
f156dc0192f71fd5070919987eae981e,994fefc868e3509d8573dd277dfff656,207.2,204.5
93e7754e3229c4cd9167c5292a7773b5,ea4f893317f30161c72d21075feaf713,4342.2,6759.0
7fa28618d4d9be3da1a5f6db78e5b833,994fefc868e3509d8573dd277dfff656,3331.8,3277.3
8c308893367eaff56253401f7bf278d7,3b72b1036881abc5835a0d03a75158d9,5734.8,7343.5
d14df0e3482dbfefc31bbf9196420883,7fa28618d4d9be3da1a5f6db78e5b833,6303.4,5987.4
a4ed13a6f161d96f8aa20727345a3158,d14df0e3482dbfefc31bbf9196420883,302.7,306.4
7fa28618d4d9be3da1a5f6db78e5b833,998030323db090e04d0a4c441ea7a89c,2401.9,2480.5
c46de094adb6809e259eeb712bab99ab,5350828dece3d87d6bc550ae59c1f716,3386.2,3308.3
a6fce5e6ca5bec22c9b802d4f91da3eb,f53cd63c69a4fa922ba401ec01cbd256,5317.9,5915.6
a6fce5e6ca5bec22c9b802d4f91da3eb,05e8138abf6b899ed6bf8f3327eb0c73,1356.8,838.7
aedcebc1529b01e8bf77393c81406931,b355cb4ba1b964c33e6ff093d6501ed2,4209.0,6922.5
cd68f69f916d3a21378ed4f2c353a5f2,31da568156a8ba328f818b47c9f5b8bb,3168.6,3212.1
9f7e16bb747b8f99aefaf75261613b71,aedcebc1529b01e8bf77393c81406931,1710.2,1615.2
